tracking_id	Day0_1_0	Day0_2_0	Day2_1_0	Day2_2_0	Day5_1_0	Day5_2_0	Day14_1_0	Day14_2_0	Fetal_27195_0	Fetal_27197_0
ENSG00000125522	0	0	0	0	0	0	0	0	0	0
ENSG00000125531	70.8288	81.5539	91.0293	157.814	56.4829	29.2026	12.8811	19.4272	8.42	22.0018
ENSG00000125533	1.94051	0	0	0	0	0	0	0	0	0
ENSG00000125534	1170.13	971.398	2162.56	2275.48	2554.76	2061.52	3653.55	3337.39	2193.41	2049.31
ENSG00000125538	0	0	0	1.97268	0	0	0	0	5.2625	8.38164
ENSG00000125551	0.970257	1.81231	1.23013	7.8907	2.89656	2.73774	5.85505	5.11243	9.47251	11.5248
ENSG00000125571	1.94051	0.906155	1.23013	1.97268	2.89656	6.38807	0	0	2.105	1.04771
ENSG00000125611	214.427	246.474	295.23	344.232	297.621	263.736	288.068	279.139	246.285	181.253
ENSG00000125618	5.82154	5.43693	19.682	11.8361	13.0345	23.7271	7.02605	8.17989	16.84	24.0972
ENSG00000125629	1984.18	474.825	1456.47	1464.71	400.449	476.367	1091.38	1765.83	707.28	802.542
ENSG00000125630	3254.24	3571.16	1321.15	1206.29	1215.83	1470.17	1185.06	1252.54	1163.01	1215.34
ENSG00000125633	1213.79	1108.23	1007.47	1112.59	1388.18	1563.25	2085.57	2133.93	3605.87	2686.32
ENSG00000125637	62.0964	68.8678	211.582	230.803	489.518	406.099	206.098	164.62	179.978	361.458
ENSG00000125648	1869.69	1593.02	1050.53	963.652	1195.55	899.805	4489.65	7129.79	2884.9	1864.92
ENSG00000125650	112.55	125.956	168.527	187.404	170.173	175.216	153.402	157.463	131.563	116.295
ENSG00000125651	2155.91	2532.7	3617.8	4413.86	2483.8	2098.02	3119.57	3119.6	2071.32	1598.8
ENSG00000125652	869.35	862.659	1235.05	1615.62	1116.62	1018.44	1541.05	1426.37	1756.62	970.175
ENSG00000125656	871.291	954.181	1045.61	1130.34	749.485	640.632	840.785	890.585	778.85	626.528
ENSG00000125657	72.7693	37.1523	52.8954	57.2076	114.414	85.7826	3.51303	7.1574	8.42	11.5248
ENSG00000125675	117.401	58.9001	201.741	365.931	386.691	450.815	1585.55	1158.48	41.0475	194.873
ENSG00000125676	3662.72	3370.9	4277.15	4260.98	3637.35	4327.46	2816.28	2648.24	2648.09	3418.66
ENSG00000125686	3131.99	2584.35	3246.3	2809.09	2496.83	2721.32	2279.95	2146.2	2715.45	2352.1
